commentId,comment,classification,comment_processed,word_phrase_list,listen,eye,eye contact,contact,similarity_score,regression_weight
147104,My tear trough filler in my left eye looked like GARBAGE and still does.,1,tear trough filler leave eye look like garage,"['tear', 'tear trough', 'tear trough filler', 'tear trough filler leave', 'tear trough filler leave eye', 'tear trough filler leave eye look', 'tear trough filler leave eye look like', 'tear trough filler leave eye look like garage', 'trough', 'trough filler', 'trough filler leave', 'trough filler leave eye', 'trough filler leave eye look', 'trough filler leave eye look like', 'trough filler leave eye look like garage', 'filler', 'filler leave', 'filler leave eye', 'filler leave eye look', 'filler leave eye look like', 'filler leave eye look like garage', 'leave', 'leave eye', 'leave eye look', 'leave eye look like', 'leave eye look like garage', 'eye', 'eye look', 'eye look like', 'eye look like garage', 'look', 'look like', 'look like garage', 'like', 'like garage', 'garage']",0,1,0,0,0.1666666666666666,0.0
77234,Dr. Joseph asked about and listened to my concerns and we spoke in detail about what he envisioned.,0,ask listen concern speak detail envision,"['ask', 'ask listen', 'ask listen concern', 'ask listen concern speak', 'ask listen concern speak detail', 'ask listen concern speak detail envision', 'listen', 'listen concern', 'listen concern speak', 'listen concern speak detail', 'listen concern speak detail envision', 'concern', 'concern speak', 'concern speak detail', 'concern speak detail envision', 'speak', 'speak detail', 'speak detail envision', 'detail', 'detail envision', 'envision']",1,0,0,0,0.1666666666666666,0.0
96073,NEVER allow a doctor to put radiesse near your eyes.,1,allow doctor radiesse near eye,"['allow', 'allow doctor', 'allow doctor radiesse', 'allow doctor radiesse near', 'allow doctor radiesse near eye', 'doctor', 'doctor radiesse', 'doctor radiesse near', 'doctor radiesse near eye', 'radiesse', 'radiesse near', 'radiesse near eye', 'near', 'near eye', 'eye']",0,1,0,0,0.1666666666666666,0.0
60387,He always listens to me and explains everything to me,0,listen explain,"['listen', 'listen explain', 'explain']",1,0,0,0,0.1666666666666666,0.0
124566,"I said hello to Dr. Moulthrop in passing, and he completely ignored me even though we made eye contact, and he heard me.",1,say hello pass completely ignore eye contact hear,"['say', 'say hello', 'say hello pass', 'say hello pass completely', 'say hello pass completely ignore', 'say hello pass completely ignore eye', 'say hello pass completely ignore eye contact', 'say hello pass completely ignore eye contact hear', 'hello', 'hello pass', 'hello pass completely', 'hello pass completely ignore', 'hello pass completely ignore eye', 'hello pass completely ignore eye contact', 'hello pass completely ignore eye contact hear', 'pass', 'pass completely', 'pass completely ignore', 'pass completely ignore eye', 'pass completely ignore eye contact', 'pass completely ignore eye contact hear', 'completely', 'completely ignore', 'completely ignore eye', 'completely ignore eye contact', 'completely ignore eye contact hear', 'ignore', 'ignore eye', 'ignore eye contact', 'ignore eye contact hear', 'eye', 'eye contact', 'eye contact hear', 'contact', 'contact hear', 'hear']",0,1,1,1,0.5,0.0
83404,so badly it had to be removed. 4 of us had our eyes collapse and droop from the Botox.,1,badly remove eye collapse droop,"['badly', 'badly remove', 'badly remove eye', 'badly remove eye collapse', 'badly remove eye collapse droop', 'remove', 'remove eye', 'remove eye collapse', 'remove eye collapse droop', 'eye', 'eye collapse', 'eye collapse droop', 'collapse', 'collapse droop', 'droop']",0,1,0,0,0.1666666666666666,0.0
74027,Left my eye droopy.,1,leave eye droop,"['leave', 'leave eye', 'leave eye droop', 'eye', 'eye droop', 'droop']",0,1,0,0,0.1666666666666666,0.0
179200,"for Dateline, and listened to country music (my personal favorite).",0,vaseline listen country music personal favorite,"['vaseline', 'vaseline listen', 'vaseline listen country', 'vaseline listen country music', 'vaseline listen country music personal', 'vaseline listen country music personal favorite', 'listen', 'listen country', 'listen country music', 'listen country music personal', 'listen country music personal favorite', 'country', 'country music', 'country music personal', 'country music personal favorite', 'music', 'music personal', 'music personal favorite', 'personal', 'personal favorite', 'favorite']",1,0,0,0,0.1666666666666666,0.0
131918,I was 20/200 before my surgery and at my post op appointment the next morning I was 20/20 with each individual eye,0,surgery post op appointment individual eye,"['surgery', 'surgery post', 'surgery post op', 'surgery post op appointment', 'surgery post op appointment individual', 'surgery post op appointment individual eye', 'post', 'post op', 'post op appointment', 'post op appointment individual', 'post op appointment individual eye', 'op', 'op appointment', 'op appointment individual', 'op appointment individual eye', 'appointment', 'appointment individual', 'appointment individual eye', 'individual', 'individual eye', 'eye']",0,1,0,0,0.1666666666666666,0.0
147840,"This man has a problem with listening to what the patient wants, if you try to say something he rudely",1,man problem listen patient want try impolitely,"['man', 'man problem', 'man problem listen', 'man problem listen patient', 'man problem listen patient want', 'man problem listen patient want try', 'man problem listen patient want try impolitely', 'problem', 'problem listen', 'problem listen patient', 'problem listen patient want', 'problem listen patient want try', 'problem listen patient want try impolitely', 'listen', 'listen patient', 'listen patient want', 'listen patient want try', 'listen patient want try impolitely', 'patient', 'patient want', 'patient want try', 'patient want try impolitely', 'want', 'want try', 'want try impolitely', 'try', 'try impolitely', 'impolitely']",1,0,0,0,0.1666666666666666,0.0
63446,"She listens carefully, is interested and is genuinely concerned.",0,listen carefully interest genuinely concerned,"['listen', 'listen carefully', 'listen carefully interest', 'listen carefully interest genuinely', 'listen carefully interest genuinely concerned', 'carefully', 'carefully interest', 'carefully interest genuinely', 'carefully interest genuinely concerned', 'interest', 'interest genuinely', 'interest genuinely concerned', 'genuinely', 'genuinely concerned', 'concerned']",1,0,0,0,0.1666666666666666,0.0
90424,"he listened, informed, showed me the MRI, explain the risks",0,listen inform show mister explain risk,"['listen', 'listen inform', 'listen inform show', 'listen inform show mister', 'listen inform show mister explain', 'listen inform show mister explain risk', 'inform', 'inform show', 'inform show mister', 'inform show mister explain', 'inform show mister explain risk', 'show', 'show mister', 'show mister explain', 'show mister explain risk', 'mister', 'mister explain', 'mister explain risk', 'explain', 'explain risk', 'risk']",1,0,0,0,0.1666666666666666,0.0
108797,He insisted that I contact him at any time with concerns and returned my calls in a timely manor.,0,insist contact time concern return call timely manor,"['insist', 'insist contact', 'insist contact time', 'insist contact time concern', 'insist contact time concern return', 'insist contact time concern return call', 'insist contact time concern return call timely', 'insist contact time concern return call timely manor', 'contact', 'contact time', 'contact time concern', 'contact time concern return', 'contact time concern return call', 'contact time concern return call timely', 'contact time concern return call timely manor', 'time', 'time concern', 'time concern return', 'time concern return call', 'time concern return call timely', 'time concern return call timely manor', 'concern', 'concern return', 'concern return call', 'concern return call timely', 'concern return call timely manor', 'return', 'return call', 'return call timely', 'return call timely manor', 'call', 'call timely', 'call timely manor', 'timely', 'timely manor', 'manor']",0,0,0,1,0.1666666666666666,0.0
189775,I am so glad I followed through and am excited to not have to worry about contacts and glasses.,0,glad follow excite not worry contact glass,"['glad', 'glad follow', 'glad follow excite', 'glad follow excite not', 'glad follow excite not worry', 'glad follow excite not worry contact', 'glad follow excite not worry contact glass', 'follow', 'follow excite', 'follow excite not', 'follow excite not worry', 'follow excite not worry contact', 'follow excite not worry contact glass', 'excite', 'excite not', 'excite not worry', 'excite not worry contact', 'excite not worry contact glass', 'not', 'not worry', 'not worry contact', 'not worry contact glass', 'worry', 'worry contact', 'worry contact glass', 'contact', 'contact glass', 'glass']",0,0,0,1,0.1666666666666666,0.0
60889,He listened attentively,0,listen attentively,"['listen', 'listen attentively', 'attentively']",1,0,0,0,0.1666666666666666,0.0
116279,Because he listened we were able to catch my daughters growth restriction as well as her going into stress durring labor.,0,listen able catch daughter growth restriction go stress labor,"['listen', 'listen able', 'listen able catch', 'listen able catch daughter', 'listen able catch daughter growth', 'listen able catch daughter growth restriction', 'listen able catch daughter growth restriction go', 'listen able catch daughter growth restriction go stress', 'listen able catch daughter growth restriction go stress labor', 'able', 'able catch', 'able catch daughter', 'able catch daughter growth', 'able catch daughter growth restriction', 'able catch daughter growth restriction go', 'able catch daughter growth restriction go stress', 'able catch daughter growth restriction go stress labor', 'catch', 'catch daughter', 'catch daughter growth', 'catch daughter growth restriction', 'catch daughter growth restriction go', 'catch daughter growth restriction go stress', 'catch daughter growth restriction go stress labor', 'daughter', 'daughter growth', 'daughter growth restriction', 'daughter growth restriction go', 'daughter growth restriction go stress', 'daughter growth restriction go stress labor', 'growth', 'growth restriction', 'growth restriction go', 'growth restriction go stress', 'growth restriction go stress labor', 'restriction', 'restriction go', 'restriction go stress', 'restriction go stress labor', 'go', 'go stress', 'go stress labor', 'stress', 'stress labor', 'labor']",1,0,0,0,0.1666666666666666,0.0
