commentId,comment,classification,comment_processed,word_phrase_list,nervous,nervous eye,nervous eye breeze,eye,eye breeze,breeze,similarity_score
147104,My tear trough filler in my left eye looked like GARBAGE and still does.,1,tear trough filler leave eye look like garage,"['tear', 'tear trough', 'tear trough filler', 'tear trough filler leave', 'tear trough filler leave eye', 'tear trough filler leave eye look', 'tear trough filler leave eye look like', 'tear trough filler leave eye look like garage', 'trough', 'trough filler', 'trough filler leave', 'trough filler leave eye', 'trough filler leave eye look', 'trough filler leave eye look like', 'trough filler leave eye look like garage', 'filler', 'filler leave', 'filler leave eye', 'filler leave eye look', 'filler leave eye look like', 'filler leave eye look like garage', 'leave', 'leave eye', 'leave eye look', 'leave eye look like', 'leave eye look like garage', 'eye', 'eye look', 'eye look like', 'eye look like garage', 'look', 'look like', 'look like garage', 'like', 'like garage', 'garage']",0,0,0,1,0,0,0.2857142857142857
97165,"I was very nervous before going to my appointment, they eased all of my worries",0,nervous go appointment stop worry,"['nervous', 'nervous go', 'nervous go appointment', 'nervous go appointment stop', 'nervous go appointment stop worry', 'go', 'go appointment', 'go appointment stop', 'go appointment stop worry', 'appointment', 'appointment stop', 'appointment stop worry', 'stop', 'stop worry', 'worry']",1,0,0,0,0,0,0.2857142857142857
96073,NEVER allow a doctor to put radiesse near your eyes.,1,allow doctor radiesse near eye,"['allow', 'allow doctor', 'allow doctor radiesse', 'allow doctor radiesse near', 'allow doctor radiesse near eye', 'doctor', 'doctor radiesse', 'doctor radiesse near', 'doctor radiesse near eye', 'radiesse', 'radiesse near', 'radiesse near eye', 'near', 'near eye', 'eye']",0,0,0,1,0,0,0.2857142857142857
124566,"I said hello to Dr. Moulthrop in passing, and he completely ignored me even though we made eye contact, and he heard me.",1,say hello pass completely ignore eye contact hear,"['say', 'say hello', 'say hello pass', 'say hello pass completely', 'say hello pass completely ignore', 'say hello pass completely ignore eye', 'say hello pass completely ignore eye contact', 'say hello pass completely ignore eye contact hear', 'hello', 'hello pass', 'hello pass completely', 'hello pass completely ignore', 'hello pass completely ignore eye', 'hello pass completely ignore eye contact', 'hello pass completely ignore eye contact hear', 'pass', 'pass completely', 'pass completely ignore', 'pass completely ignore eye', 'pass completely ignore eye contact', 'pass completely ignore eye contact hear', 'completely', 'completely ignore', 'completely ignore eye', 'completely ignore eye contact', 'completely ignore eye contact hear', 'ignore', 'ignore eye', 'ignore eye contact', 'ignore eye contact hear', 'eye', 'eye contact', 'eye contact hear', 'contact', 'contact hear', 'hear']",0,0,0,1,0,0,0.2857142857142857
99126,For my whole life I have been very nervous about seeing a dentist.I had not been to the dentist for approx. 6 years.,1,life nervous see dentist dentist,"['life', 'life nervous', 'life nervous see', 'life nervous see dentist', 'life nervous see dentist dentist', 'nervous', 'nervous see', 'nervous see dentist', 'nervous see dentist dentist', 'see', 'see dentist', 'see dentist dentist', 'dentist', 'dentist dentist', 'dentist']",1,0,0,0,0,0,0.2857142857142857
83404,so badly it had to be removed. 4 of us had our eyes collapse and droop from the Botox.,1,badly remove eye collapse droop,"['badly', 'badly remove', 'badly remove eye', 'badly remove eye collapse', 'badly remove eye collapse droop', 'remove', 'remove eye', 'remove eye collapse', 'remove eye collapse droop', 'eye', 'eye collapse', 'eye collapse droop', 'collapse', 'collapse droop', 'droop']",0,0,0,1,0,0,0.2857142857142857
74027,Left my eye droopy.,1,leave eye droop,"['leave', 'leave eye', 'leave eye droop', 'eye', 'eye droop', 'droop']",0,0,0,1,0,0,0.2857142857142857
131918,I was 20/200 before my surgery and at my post op appointment the next morning I was 20/20 with each individual eye,0,surgery post op appointment individual eye,"['surgery', 'surgery post', 'surgery post op', 'surgery post op appointment', 'surgery post op appointment individual', 'surgery post op appointment individual eye', 'post', 'post op', 'post op appointment', 'post op appointment individual', 'post op appointment individual eye', 'op', 'op appointment', 'op appointment individual', 'op appointment individual eye', 'appointment', 'appointment individual', 'appointment individual eye', 'individual', 'individual eye', 'eye']",0,0,0,1,0,0,0.2857142857142857
90709,I have to admit that I was really nervous but Dr. Segal makes everything seem,0,admit nervous dr legal make,"['admit', 'admit nervous', 'admit nervous dr', 'admit nervous dr legal', 'admit nervous dr legal make', 'nervous', 'nervous dr', 'nervous dr legal', 'nervous dr legal make', 'dr', 'dr legal', 'dr legal make', 'legal', 'legal make', 'make']",1,0,0,0,0,0,0.2857142857142857
138678,"I was nervous when I first called to ask questions, Terrie is whom I spoke with, she had all the answers, she wasn't pushy,",0,nervous call ask question terrible speak answer push,"['nervous', 'nervous call', 'nervous call ask', 'nervous call ask question', 'nervous call ask question terrible', 'nervous call ask question terrible speak', 'nervous call ask question terrible speak answer', 'nervous call ask question terrible speak answer push', 'call', 'call ask', 'call ask question', 'call ask question terrible', 'call ask question terrible speak', 'call ask question terrible speak answer', 'call ask question terrible speak answer push', 'ask', 'ask question', 'ask question terrible', 'ask question terrible speak', 'ask question terrible speak answer', 'ask question terrible speak answer push', 'question', 'question terrible', 'question terrible speak', 'question terrible speak answer', 'question terrible speak answer push', 'terrible', 'terrible speak', 'terrible speak answer', 'terrible speak answer push', 'speak', 'speak answer', 'speak answer push', 'answer', 'answer push', 'push']",1,0,0,0,0,0,0.2857142857142857
