commentId,comment,classification,comment_processed,word_phrase_list,happen,map,pure,insanity,similarity_score
115813,"When I finally did decide, he made the whole thing easy by explaining exactly what would happen and what would be going on.",0,finally decide thing easy explain precisely happen go,"['finally', 'finally decide', 'finally decide thing', 'finally decide thing easy', 'finally decide thing easy explain', 'finally decide thing easy explain precisely', 'finally decide thing easy explain precisely happen', 'finally decide thing easy explain precisely happen go', 'decide', 'decide thing', 'decide thing easy', 'decide thing easy explain', 'decide thing easy explain precisely', 'decide thing easy explain precisely happen', 'decide thing easy explain precisely happen go', 'thing', 'thing easy', 'thing easy explain', 'thing easy explain precisely', 'thing easy explain precisely happen', 'thing easy explain precisely happen go', 'easy', 'easy explain', 'easy explain precisely', 'easy explain precisely happen', 'easy explain precisely happen go', 'explain', 'explain precisely', 'explain precisely happen', 'explain precisely happen go', 'precisely', 'precisely happen', 'precisely happen go', 'happen', 'happen go', 'go']",1,0,0,0,0.043478260869565216
161806,My procedure was to take place on a Tuesday but something happen at the hospital and it couldn't be done on that day.,1,procedure place happen hospital,"['procedure', 'procedure place', 'procedure place happen', 'procedure place happen hospital', 'place', 'place happen', 'place happen hospital', 'happen', 'happen hospital', 'hospital']",1,0,0,0,0.1
87121,If you happen to get a live person (apparently by accident) the staff will hang up.,1,happen live person apparently accident staff hang,"['happen', 'happen live', 'happen live person', 'happen live person apparently', 'happen live person apparently accident', 'happen live person apparently accident staff', 'happen live person apparently accident staff hang', 'live', 'live person', 'live person apparently', 'live person apparently accident', 'live person apparently accident staff', 'live person apparently accident staff hang', 'person', 'person apparently', 'person apparently accident', 'person apparently accident staff', 'person apparently accident staff hang', 'apparently', 'apparently accident', 'apparently accident staff', 'apparently accident staff hang', 'accident', 'accident staff', 'accident staff hang', 'staff', 'staff hang', 'hang']",1,0,0,0,0.05263157894736842
63894,She pretty much mapped out what I was going to do,0,pretty map go,"['pretty', 'pretty map', 'pretty map go', 'map', 'map go', 'go']",0,1,0,0,0.125
103249,I even had light spotting after the exam which has never happened before.I returned a month later to get an IUD insertion.,1,light sporting examination happen return mud insertion,"['light', 'light sporting', 'light sporting examination', 'light sporting examination happen', 'light sporting examination happen return', 'light sporting examination happen return mud', 'light sporting examination happen return mud insertion', 'sporting', 'sporting examination', 'sporting examination happen', 'sporting examination happen return', 'sporting examination happen return mud', 'sporting examination happen return mud insertion', 'examination', 'examination happen', 'examination happen return', 'examination happen return mud', 'examination happen return mud insertion', 'happen', 'happen return', 'happen return mud', 'happen return mud insertion', 'return', 'return mud', 'return mud insertion', 'mud', 'mud insertion', 'insertion']",1,0,0,0,0.05263157894736842
110044,When my first meeting finally happened Dr. Levy talked in a calming manner even though i was anxious from the waiting,0,meet finally happen talk calm manner anxious wait,"['meet', 'meet finally', 'meet finally happen', 'meet finally happen talk', 'meet finally happen talk calm', 'meet finally happen talk calm manner', 'meet finally happen talk calm manner anxious', 'meet finally happen talk calm manner anxious wait', 'finally', 'finally happen', 'finally happen talk', 'finally happen talk calm', 'finally happen talk calm manner', 'finally happen talk calm manner anxious', 'finally happen talk calm manner anxious wait', 'happen', 'happen talk', 'happen talk calm', 'happen talk calm manner', 'happen talk calm manner anxious', 'happen talk calm manner anxious wait', 'talk', 'talk calm', 'talk calm manner', 'talk calm manner anxious', 'talk calm manner anxious wait', 'calm', 'calm manner', 'calm manner anxious', 'calm manner anxious wait', 'manner', 'manner anxious', 'manner anxious wait', 'anxious', 'anxious wait', 'wait']",1,0,0,0,0.043478260869565216
69994,"During our consultation, dr. Went over everything that would happen during her procedure..which was very reassuring and appreciated..",0,consultation go happen procedurewhich reassure appreciate,"['consultation', 'consultation go', 'consultation go happen', 'consultation go happen procedurewhich', 'consultation go happen procedurewhich reassure', 'consultation go happen procedurewhich reassure appreciate', 'go', 'go happen', 'go happen procedurewhich', 'go happen procedurewhich reassure', 'go happen procedurewhich reassure appreciate', 'happen', 'happen procedurewhich', 'happen procedurewhich reassure', 'happen procedurewhich reassure appreciate', 'procedurewhich', 'procedurewhich reassure', 'procedurewhich reassure appreciate', 'reassure', 'reassure appreciate', 'appreciate']",1,0,0,0,0.06451612903225806
122166,They have always been transparent about costs and everything that is going to happen and they are usually available for questions or concerns.,0,transparent cost go happen normally available question concern,"['transparent', 'transparent cost', 'transparent cost go', 'transparent cost go happen', 'transparent cost go happen normally', 'transparent cost go happen normally available', 'transparent cost go happen normally available question', 'transparent cost go happen normally available question concern', 'cost', 'cost go', 'cost go happen', 'cost go happen normally', 'cost go happen normally available', 'cost go happen normally available question', 'cost go happen normally available question concern', 'go', 'go happen', 'go happen normally', 'go happen normally available', 'go happen normally available question', 'go happen normally available question concern', 'happen', 'happen normally', 'happen normally available', 'happen normally available question', 'happen normally available question concern', 'normally', 'normally available', 'normally available question', 'normally available question concern', 'available', 'available question', 'available question concern', 'question', 'question concern', 'concern']",1,0,0,0,0.043478260869565216
144103,"It is blasting all night this happens so often, people live next door, it?s torture.",1,blast happen people live door torture,"['blast', 'blast happen', 'blast happen people', 'blast happen people live', 'blast happen people live door', 'blast happen people live door torture', 'happen', 'happen people', 'happen people live', 'happen people live door', 'happen people live door torture', 'people', 'people live', 'people live door', 'people live door torture', 'live', 'live door', 'live door torture', 'door', 'door torture', 'torture']",1,0,0,0,0.06451612903225806
173122,A big issue that happened that ruined my post-op recovery,1,big issue happen ruin rostov recovery,"['big', 'big issue', 'big issue happen', 'big issue happen ruin', 'big issue happen ruin rostov', 'big issue happen ruin rostov recovery', 'issue', 'issue happen', 'issue happen ruin', 'issue happen ruin rostov', 'issue happen ruin rostov recovery', 'happen', 'happen ruin', 'happen ruin rostov', 'happen ruin rostov recovery', 'ruin', 'ruin rostov', 'ruin rostov recovery', 'rostov', 'rostov recovery', 'recovery']",1,0,0,0,0.06451612903225806
