commentId,comment,classification,comment_processed,word_phrase_list,prescribed,prescribed medicine,medicine,mix,listen,listen look,look,similarity_score
147104,My tear trough filler in my left eye looked like GARBAGE and still does.,1,tear trough filler leave eye look like garage,"['tear', 'tear trough', 'tear trough filler', 'tear trough filler leave', 'tear trough filler leave eye', 'tear trough filler leave eye look', 'tear trough filler leave eye look like', 'tear trough filler leave eye look like garage', 'trough', 'trough filler', 'trough filler leave', 'trough filler leave eye', 'trough filler leave eye look', 'trough filler leave eye look like', 'trough filler leave eye look like garage', 'filler', 'filler leave', 'filler leave eye', 'filler leave eye look', 'filler leave eye look like', 'filler leave eye look like garage', 'leave', 'leave eye', 'leave eye look', 'leave eye look like', 'leave eye look like garage', 'eye', 'eye look', 'eye look like', 'eye look like garage', 'look', 'look like', 'look like garage', 'like', 'like garage', 'garage']",0,0,0,0,0,0,1,0.125
162742,They were very attentive and advised me on how to keep my skin looking even more amazing than it already does.,0,attentive advise skin look amaze,"['attentive', 'attentive advise', 'attentive advise skin', 'attentive advise skin look', 'attentive advise skin look amaze', 'advise', 'advise skin', 'advise skin look', 'advise skin look amaze', 'skin', 'skin look', 'skin look amaze', 'look', 'look amaze', 'amaze']",0,0,0,0,0,0,1,0.125
165011,I can actually look at myself in the mirror and in pictures and like the way I look.,0,actually look mirror picture like way look,"['actually', 'actually look', 'actually look mirror', 'actually look mirror picture', 'actually look mirror picture like', 'actually look mirror picture like way', 'actually look mirror picture like way look', 'look', 'look mirror', 'look mirror picture', 'look mirror picture like', 'look mirror picture like way', 'look mirror picture like way look', 'mirror', 'mirror picture', 'mirror picture like', 'mirror picture like way', 'mirror picture like way look', 'picture', 'picture like', 'picture like way', 'picture like way look', 'like', 'like way', 'like way look', 'way', 'way look', 'look']",0,0,0,0,0,0,1,0.125
77234,Dr. Joseph asked about and listened to my concerns and we spoke in detail about what he envisioned.,0,ask listen concern speak detail envision,"['ask', 'ask listen', 'ask listen concern', 'ask listen concern speak', 'ask listen concern speak detail', 'ask listen concern speak detail envision', 'listen', 'listen concern', 'listen concern speak', 'listen concern speak detail', 'listen concern speak detail envision', 'concern', 'concern speak', 'concern speak detail', 'concern speak detail envision', 'speak', 'speak detail', 'speak detail envision', 'detail', 'detail envision', 'envision']",0,0,0,0,1,0,0,0.125
60387,He always listens to me and explains everything to me,0,listen explain,"['listen', 'listen explain', 'explain']",0,0,0,0,1,0,0,0.125
138270,result since this sagging skin is all I see when I look in the mirror.,1,result lag skin look mirror,"['result', 'result lag', 'result lag skin', 'result lag skin look', 'result lag skin look mirror', 'lag', 'lag skin', 'lag skin look', 'lag skin look mirror', 'skin', 'skin look', 'skin look mirror', 'look', 'look mirror', 'mirror']",0,0,0,0,0,0,1,0.125
141291,Neck is terribly tight and causes constant problems andbunnatural look.,1,neck terribly tight cause constant problem andbunnatural look,"['neck', 'neck terribly', 'neck terribly tight', 'neck terribly tight cause', 'neck terribly tight cause constant', 'neck terribly tight cause constant problem', 'neck terribly tight cause constant problem andbunnatural', 'neck terribly tight cause constant problem andbunnatural look', 'terribly', 'terribly tight', 'terribly tight cause', 'terribly tight cause constant', 'terribly tight cause constant problem', 'terribly tight cause constant problem andbunnatural', 'terribly tight cause constant problem andbunnatural look', 'tight', 'tight cause', 'tight cause constant', 'tight cause constant problem', 'tight cause constant problem andbunnatural', 'tight cause constant problem andbunnatural look', 'cause', 'cause constant', 'cause constant problem', 'cause constant problem andbunnatural', 'cause constant problem andbunnatural look', 'constant', 'constant problem', 'constant problem andbunnatural', 'constant problem andbunnatural look', 'problem', 'problem andbunnatural', 'problem andbunnatural look', 'andbunnatural', 'andbunnatural look', 'look']",0,0,0,0,0,0,1,0.125
70511,He took off almost half my face and I look great.,0,take face look great,"['take', 'take face', 'take face look', 'take face look great', 'face', 'face look', 'face look great', 'look', 'look great', 'great']",0,0,0,0,0,0,1,0.125
163053,She took one look and said it looked like an infection.,0,take look say look like infection,"['take', 'take look', 'take look say', 'take look say look', 'take look say look like', 'take look say look like infection', 'look', 'look say', 'look say look', 'look say look like', 'look say look like infection', 'say', 'say look', 'say look like', 'say look like infection', 'look', 'look like', 'look like infection', 'like', 'like infection', 'infection']",0,0,0,0,0,0,1,0.125
162950,"and as a huge bonus I look much, much, better than before!",0,huge bonus look good,"['huge', 'huge bonus', 'huge bonus look', 'huge bonus look good', 'bonus', 'bonus look', 'bonus look good', 'look', 'look good', 'good']",0,0,0,0,0,0,1,0.125
179266,I've always wanted a natural look and that's what I've gotten!,0,ve want natural look s ve get,"['ve', 've want', 've want natural', 've want natural look', 've want natural look s', 've want natural look s ve', 've want natural look s ve get', 'want', 'want natural', 'want natural look', 'want natural look s', 'want natural look s ve', 'want natural look s ve get', 'natural', 'natural look', 'natural look s', 'natural look s ve', 'natural look s ve get', 'look', 'look s', 'look s ve', 'look s ve get', 's', 's ve', 's ve get', 've', 've get', 'get']",0,0,0,0,0,0,1,0.125
154645,The ASSISTANT Said it looks better and I'm like in my head she is obviously not too smart,1,assistant say look good m like head obviously smart,"['assistant', 'assistant say', 'assistant say look', 'assistant say look good', 'assistant say look good m', 'assistant say look good m like', 'assistant say look good m like head', 'assistant say look good m like head obviously', 'assistant say look good m like head obviously smart', 'say', 'say look', 'say look good', 'say look good m', 'say look good m like', 'say look good m like head', 'say look good m like head obviously', 'say look good m like head obviously smart', 'look', 'look good', 'look good m', 'look good m like', 'look good m like head', 'look good m like head obviously', 'look good m like head obviously smart', 'good', 'good m', 'good m like', 'good m like head', 'good m like head obviously', 'good m like head obviously smart', 'm', 'm like', 'm like head', 'm like head obviously', 'm like head obviously smart', 'like', 'like head', 'like head obviously', 'like head obviously smart', 'head', 'head obviously', 'head obviously smart', 'obviously', 'obviously smart', 'smart']",0,0,0,0,0,0,1,0.125
