commentId,comment,classification,comment_processed,word_phrase_list,confront,act,act like,like,like big,like big deal,big,big deal,deal,similarity_score
147104,My tear trough filler in my left eye looked like GARBAGE and still does.,1,tear trough filler leave eye look like garage,"['tear', 'tear trough', 'tear trough filler', 'tear trough filler leave', 'tear trough filler leave eye', 'tear trough filler leave eye look', 'tear trough filler leave eye look like', 'tear trough filler leave eye look like garage', 'trough', 'trough filler', 'trough filler leave', 'trough filler leave eye', 'trough filler leave eye look', 'trough filler leave eye look like', 'trough filler leave eye look like garage', 'filler', 'filler leave', 'filler leave eye', 'filler leave eye look', 'filler leave eye look like', 'filler leave eye look like garage', 'leave', 'leave eye', 'leave eye look', 'leave eye look like', 'leave eye look like garage', 'eye', 'eye look', 'eye look like', 'eye look like garage', 'look', 'look like', 'look like garage', 'like', 'like garage', 'garage']",0,0,0,1,0,0,0,0,0,0.0392156862745098
150465,I was able to have permanent (not temporary like other offices offer) nose filler to fix the unevenness.,0,able permanent not temporary like office offer nose filler fix unevenness,"['able', 'able permanent', 'able permanent not', 'able permanent not temporary', 'able permanent not temporary like', 'able permanent not temporary like office', 'able permanent not temporary like office offer', 'able permanent not temporary like office offer nose', 'able permanent not temporary like office offer nose filler', 'able permanent not temporary like office offer nose filler fix', 'able permanent not temporary like office offer nose filler fix unevenness', 'permanent', 'permanent not', 'permanent not temporary', 'permanent not temporary like', 'permanent not temporary like office', 'permanent not temporary like office offer', 'permanent not temporary like office offer nose', 'permanent not temporary like office offer nose filler', 'permanent not temporary like office offer nose filler fix', 'permanent not temporary like office offer nose filler fix unevenness', 'not', 'not temporary', 'not temporary like', 'not temporary like office', 'not temporary like office offer', 'not temporary like office offer nose', 'not temporary like office offer nose filler', 'not temporary like office offer nose filler fix', 'not temporary like office offer nose filler fix unevenness', 'temporary', 'temporary like', 'temporary like office', 'temporary like office offer', 'temporary like office offer nose', 'temporary like office offer nose filler', 'temporary like office offer nose filler fix', 'temporary like office offer nose filler fix unevenness', 'like', 'like office', 'like office offer', 'like office offer nose', 'like office offer nose filler', 'like office offer nose filler fix', 'like office offer nose filler fix unevenness', 'office', 'office offer', 'office offer nose', 'office offer nose filler', 'office offer nose filler fix', 'office offer nose filler fix unevenness', 'offer', 'offer nose', 'offer nose filler', 'offer nose filler fix', 'offer nose filler fix unevenness', 'nose', 'nose filler', 'nose filler fix', 'nose filler fix unevenness', 'filler', 'filler fix', 'filler fix unevenness', 'fix', 'fix unevenness', 'unevenness']",0,0,0,1,0,0,0,0,0,0.024691358024691357
163175,"No again , the doctor comes in makes a VERY BIG DEAL about your lines and says she needs to come up with a recommendation",1,no come make big deal line say need come recommendation,"['no', 'no come', 'no come make', 'no come make big', 'no come make big deal', 'no come make big deal line', 'no come make big deal line say', 'no come make big deal line say need', 'no come make big deal line say need come', 'no come make big deal line say need come recommendation', 'come', 'come make', 'come make big', 'come make big deal', 'come make big deal line', 'come make big deal line say', 'come make big deal line say need', 'come make big deal line say need come', 'come make big deal line say need come recommendation', 'make', 'make big', 'make big deal', 'make big deal line', 'make big deal line say', 'make big deal line say need', 'make big deal line say need come', 'make big deal line say need come recommendation', 'big', 'big deal', 'big deal line', 'big deal line say', 'big deal line say need', 'big deal line say need come', 'big deal line say need come recommendation', 'deal', 'deal line', 'deal line say', 'deal line say need', 'deal line say need come', 'deal line say need come recommendation', 'line', 'line say', 'line say need', 'line say need come', 'line say need come recommendation', 'say', 'say need', 'say need come', 'say need come recommendation', 'need', 'need come', 'need come recommendation', 'come', 'come recommendation', 'recommendation']",0,0,0,0,0,0,1,1,1,0.08571428571428572
187501,too like what kind of pillow to buy or types of back patches,0,like kind pillow buy type patch,"['like', 'like kind', 'like kind pillow', 'like kind pillow buy', 'like kind pillow buy type', 'like kind pillow buy type patch', 'kind', 'kind pillow', 'kind pillow buy', 'kind pillow buy type', 'kind pillow buy type patch', 'pillow', 'pillow buy', 'pillow buy type', 'pillow buy type patch', 'buy', 'buy type', 'buy type patch', 'type', 'type patch', 'patch']",0,0,0,1,0,0,0,0,0,0.05555555555555555
112669,"I will never go to another practitioner because she is just THAT good and, like I said, actually an angel of a human.",0,practitioner good like say actually angel human,"['practitioner', 'practitioner good', 'practitioner good like', 'practitioner good like say', 'practitioner good like say actually', 'practitioner good like say actually angel', 'practitioner good like say actually angel human', 'good', 'good like', 'good like say', 'good like say actually', 'good like say actually angel', 'good like say actually angel human', 'like', 'like say', 'like say actually', 'like say actually angel', 'like say actually angel human', 'say', 'say actually', 'say actually angel', 'say actually angel human', 'actually', 'actually angel', 'actually angel human', 'angel', 'angel human', 'human']",0,0,0,1,0,0,0,0,0,0.046511627906976744
165011,I can actually look at myself in the mirror and in pictures and like the way I look.,0,actually look mirror picture like way look,"['actually', 'actually look', 'actually look mirror', 'actually look mirror picture', 'actually look mirror picture like', 'actually look mirror picture like way', 'actually look mirror picture like way look', 'look', 'look mirror', 'look mirror picture', 'look mirror picture like', 'look mirror picture like way', 'look mirror picture like way look', 'mirror', 'mirror picture', 'mirror picture like', 'mirror picture like way', 'mirror picture like way look', 'picture', 'picture like', 'picture like way', 'picture like way look', 'like', 'like way', 'like way look', 'way', 'way look', 'look']",0,0,0,1,0,0,0,0,0,0.046511627906976744
151134,"The offices are very clean (not just due to Covid, they've just always been like that) and well managed.",0,office clean not like manage,"['office', 'office clean', 'office clean not', 'office clean not like', 'office clean not like manage', 'clean', 'clean not', 'clean not like', 'clean not like manage', 'not', 'not like', 'not like manage', 'like', 'like manage', 'manage']",0,0,0,1,0,0,0,0,0,0.06666666666666667
91662,and not feel like a monster :) The clinic is impeccable - I'm a neat freak/ germaphobe OCD person.,0,not feel like monster clinic implacable neat freak germaphobe old person,"['not', 'not feel', 'not feel like', 'not feel like monster', 'not feel like monster clinic', 'not feel like monster clinic implacable', 'not feel like monster clinic implacable neat', 'not feel like monster clinic implacable neat freak', 'not feel like monster clinic implacable neat freak germaphobe', 'not feel like monster clinic implacable neat freak germaphobe old', 'not feel like monster clinic implacable neat freak germaphobe old person', 'feel', 'feel like', 'feel like monster', 'feel like monster clinic', 'feel like monster clinic implacable', 'feel like monster clinic implacable neat', 'feel like monster clinic implacable neat freak', 'feel like monster clinic implacable neat freak germaphobe', 'feel like monster clinic implacable neat freak germaphobe old', 'feel like monster clinic implacable neat freak germaphobe old person', 'like', 'like monster', 'like monster clinic', 'like monster clinic implacable', 'like monster clinic implacable neat', 'like monster clinic implacable neat freak', 'like monster clinic implacable neat freak germaphobe', 'like monster clinic implacable neat freak germaphobe old', 'like monster clinic implacable neat freak germaphobe old person', 'monster', 'monster clinic', 'monster clinic implacable', 'monster clinic implacable neat', 'monster clinic implacable neat freak', 'monster clinic implacable neat freak germaphobe', 'monster clinic implacable neat freak germaphobe old', 'monster clinic implacable neat freak germaphobe old person', 'clinic', 'clinic implacable', 'clinic implacable neat', 'clinic implacable neat freak', 'clinic implacable neat freak germaphobe', 'clinic implacable neat freak germaphobe old', 'clinic implacable neat freak germaphobe old person', 'implacable', 'implacable neat', 'implacable neat freak', 'implacable neat freak germaphobe', 'implacable neat freak germaphobe old', 'implacable neat freak germaphobe old person', 'neat', 'neat freak', 'neat freak germaphobe', 'neat freak germaphobe old', 'neat freak germaphobe old person', 'freak', 'freak germaphobe', 'freak germaphobe old', 'freak germaphobe old person', 'germaphobe', 'germaphobe old', 'germaphobe old person', 'old', 'old person', 'person']",0,0,0,1,0,0,0,0,0,0.024691358024691357
86062,"So FYI, they never pick up the phone if you work 9a to 5p, M-F like me",1,foi pick phone work p like,"['foi', 'foi pick', 'foi pick phone', 'foi pick phone work', 'foi pick phone work p', 'foi pick phone work p like', 'pick', 'pick phone', 'pick phone work', 'pick phone work p', 'pick phone work p like', 'phone', 'phone work', 'phone work p', 'phone work p like', 'work', 'work p', 'work p like', 'p', 'p like', 'like']",0,0,0,1,0,0,0,0,0,0.05555555555555555
187011,I feel like my concerns were addressed and I feel at ease and excited now to book an appointment for surgery with them.,0,feel like concern address feel ease excite book appointment surgery,"['feel', 'feel like', 'feel like concern', 'feel like concern address', 'feel like concern address feel', 'feel like concern address feel ease', 'feel like concern address feel ease excite', 'feel like concern address feel ease excite book', 'feel like concern address feel ease excite book appointment', 'feel like concern address feel ease excite book appointment surgery', 'like', 'like concern', 'like concern address', 'like concern address feel', 'like concern address feel ease', 'like concern address feel ease excite', 'like concern address feel ease excite book', 'like concern address feel ease excite book appointment', 'like concern address feel ease excite book appointment surgery', 'concern', 'concern address', 'concern address feel', 'concern address feel ease', 'concern address feel ease excite', 'concern address feel ease excite book', 'concern address feel ease excite book appointment', 'concern address feel ease excite book appointment surgery', 'address', 'address feel', 'address feel ease', 'address feel ease excite', 'address feel ease excite book', 'address feel ease excite book appointment', 'address feel ease excite book appointment surgery', 'feel', 'feel ease', 'feel ease excite', 'feel ease excite book', 'feel ease excite book appointment', 'feel ease excite book appointment surgery', 'ease', 'ease excite', 'ease excite book', 'ease excite book appointment', 'ease excite book appointment surgery', 'excite', 'excite book', 'excite book appointment', 'excite book appointment surgery', 'book', 'book appointment', 'book appointment surgery', 'appointment', 'appointment surgery', 'surgery']",0,0,0,1,0,0,0,0,0,0.02857142857142857
