commentId,comment,classification,comment_processed,word_phrase_list,pretend,clinic,love,love look,look,fund,similarity_score
147104,My tear trough filler in my left eye looked like GARBAGE and still does.,1,tear trough filler leave eye look like garage,"['tear', 'tear trough', 'tear trough filler', 'tear trough filler leave', 'tear trough filler leave eye', 'tear trough filler leave eye look', 'tear trough filler leave eye look like', 'tear trough filler leave eye look like garage', 'trough', 'trough filler', 'trough filler leave', 'trough filler leave eye', 'trough filler leave eye look', 'trough filler leave eye look like', 'trough filler leave eye look like garage', 'filler', 'filler leave', 'filler leave eye', 'filler leave eye look', 'filler leave eye look like', 'filler leave eye look like garage', 'leave', 'leave eye', 'leave eye look', 'leave eye look like', 'leave eye look like garage', 'eye', 'eye look', 'eye look like', 'eye look like garage', 'look', 'look like', 'look like garage', 'like', 'like garage', 'garage']",0,0,0,0,1,0,0.03508771929824561
162742,They were very attentive and advised me on how to keep my skin looking even more amazing than it already does.,0,attentive advise skin look amaze,"['attentive', 'attentive advise', 'attentive advise skin', 'attentive advise skin look', 'attentive advise skin look amaze', 'advise', 'advise skin', 'advise skin look', 'advise skin look amaze', 'skin', 'skin look', 'skin look amaze', 'look', 'look amaze', 'amaze']",0,0,0,0,1,0,0.05555555555555555
104673,"Friendly, informative, happy I selected this clinic.",0,friendly information happy choose clinic,"['friendly', 'friendly information', 'friendly information happy', 'friendly information happy choose', 'friendly information happy choose clinic', 'information', 'information happy', 'information happy choose', 'information happy choose clinic', 'happy', 'happy choose', 'happy choose clinic', 'choose', 'choose clinic', 'clinic']",0,1,0,0,0,0,0.05555555555555555
165011,I can actually look at myself in the mirror and in pictures and like the way I look.,0,actually look mirror picture like way look,"['actually', 'actually look', 'actually look mirror', 'actually look mirror picture', 'actually look mirror picture like', 'actually look mirror picture like way', 'actually look mirror picture like way look', 'look', 'look mirror', 'look mirror picture', 'look mirror picture like', 'look mirror picture like way', 'look mirror picture like way look', 'mirror', 'mirror picture', 'mirror picture like', 'mirror picture like way', 'mirror picture like way look', 'picture', 'picture like', 'picture like way', 'picture like way look', 'like', 'like way', 'like way look', 'way', 'way look', 'look']",0,0,0,0,1,0,0.04081632653061224
82931,I love that they didnt just push pills on me,0,love push pill,"['love', 'love push', 'love push pill', 'push', 'push pill', 'pill']",0,0,1,0,0,0,0.07407407407407407
91662,and not feel like a monster :) The clinic is impeccable - I'm a neat freak/ germaphobe OCD person.,0,not feel like monster clinic implacable neat freak germaphobe old person,"['not', 'not feel', 'not feel like', 'not feel like monster', 'not feel like monster clinic', 'not feel like monster clinic implacable', 'not feel like monster clinic implacable neat', 'not feel like monster clinic implacable neat freak', 'not feel like monster clinic implacable neat freak germaphobe', 'not feel like monster clinic implacable neat freak germaphobe old', 'not feel like monster clinic implacable neat freak germaphobe old person', 'feel', 'feel like', 'feel like monster', 'feel like monster clinic', 'feel like monster clinic implacable', 'feel like monster clinic implacable neat', 'feel like monster clinic implacable neat freak', 'feel like monster clinic implacable neat freak germaphobe', 'feel like monster clinic implacable neat freak germaphobe old', 'feel like monster clinic implacable neat freak germaphobe old person', 'like', 'like monster', 'like monster clinic', 'like monster clinic implacable', 'like monster clinic implacable neat', 'like monster clinic implacable neat freak', 'like monster clinic implacable neat freak germaphobe', 'like monster clinic implacable neat freak germaphobe old', 'like monster clinic implacable neat freak germaphobe old person', 'monster', 'monster clinic', 'monster clinic implacable', 'monster clinic implacable neat', 'monster clinic implacable neat freak', 'monster clinic implacable neat freak germaphobe', 'monster clinic implacable neat freak germaphobe old', 'monster clinic implacable neat freak germaphobe old person', 'clinic', 'clinic implacable', 'clinic implacable neat', 'clinic implacable neat freak', 'clinic implacable neat freak germaphobe', 'clinic implacable neat freak germaphobe old', 'clinic implacable neat freak germaphobe old person', 'implacable', 'implacable neat', 'implacable neat freak', 'implacable neat freak germaphobe', 'implacable neat freak germaphobe old', 'implacable neat freak germaphobe old person', 'neat', 'neat freak', 'neat freak germaphobe', 'neat freak germaphobe old', 'neat freak germaphobe old person', 'freak', 'freak germaphobe', 'freak germaphobe old', 'freak germaphobe old person', 'germaphobe', 'germaphobe old', 'germaphobe old person', 'old', 'old person', 'person']",0,1,0,0,0,0,0.022988505747126436
138270,result since this sagging skin is all I see when I look in the mirror.,1,result lag skin look mirror,"['result', 'result lag', 'result lag skin', 'result lag skin look', 'result lag skin look mirror', 'lag', 'lag skin', 'lag skin look', 'lag skin look mirror', 'skin', 'skin look', 'skin look mirror', 'look', 'look mirror', 'mirror']",0,0,0,0,1,0,0.05555555555555555
114069,Great Doctor Great staff Love the results of everything I have had done!,0,great doctor great staff love result,"['great', 'great doctor', 'great doctor great', 'great doctor great staff', 'great doctor great staff love', 'great doctor great staff love result', 'doctor', 'doctor great', 'doctor great staff', 'doctor great staff love', 'doctor great staff love result', 'great', 'great staff', 'great staff love', 'great staff love result', 'staff', 'staff love', 'staff love result', 'love', 'love result', 'result']",0,0,1,0,0,0,0.047619047619047616
141291,Neck is terribly tight and causes constant problems andbunnatural look.,1,neck terribly tight cause constant problem andbunnatural look,"['neck', 'neck terribly', 'neck terribly tight', 'neck terribly tight cause', 'neck terribly tight cause constant', 'neck terribly tight cause constant problem', 'neck terribly tight cause constant problem andbunnatural', 'neck terribly tight cause constant problem andbunnatural look', 'terribly', 'terribly tight', 'terribly tight cause', 'terribly tight cause constant', 'terribly tight cause constant problem', 'terribly tight cause constant problem andbunnatural', 'terribly tight cause constant problem andbunnatural look', 'tight', 'tight cause', 'tight cause constant', 'tight cause constant problem', 'tight cause constant problem andbunnatural', 'tight cause constant problem andbunnatural look', 'cause', 'cause constant', 'cause constant problem', 'cause constant problem andbunnatural', 'cause constant problem andbunnatural look', 'constant', 'constant problem', 'constant problem andbunnatural', 'constant problem andbunnatural look', 'problem', 'problem andbunnatural', 'problem andbunnatural look', 'andbunnatural', 'andbunnatural look', 'look']",0,0,0,0,1,0,0.03508771929824561
70511,He took off almost half my face and I look great.,0,take face look great,"['take', 'take face', 'take face look', 'take face look great', 'face', 'face look', 'face look great', 'look', 'look great', 'great']",0,0,0,0,1,0,0.06451612903225806
163053,She took one look and said it looked like an infection.,0,take look say look like infection,"['take', 'take look', 'take look say', 'take look say look', 'take look say look like', 'take look say look like infection', 'look', 'look say', 'look say look', 'look say look like', 'look say look like infection', 'say', 'say look', 'say look like', 'say look like infection', 'look', 'look like', 'look like infection', 'like', 'like infection', 'infection']",0,0,0,0,1,0,0.047619047619047616
162950,"and as a huge bonus I look much, much, better than before!",0,huge bonus look good,"['huge', 'huge bonus', 'huge bonus look', 'huge bonus look good', 'bonus', 'bonus look', 'bonus look good', 'look', 'look good', 'good']",0,0,0,0,1,0,0.06451612903225806
179266,I've always wanted a natural look and that's what I've gotten!,0,want natural look get,"['want', 'want natural', 'want natural look', 'want natural look get', 'natural', 'natural look', 'natural look get', 'look', 'look get', 'get']",0,0,0,0,1,0,0.06451612903225806
