commentId,comment,classification,comment_processed,word_phrase_list,walk,apt,similarity_score
191478,We spent some time after our appt talking about maintenance treatment and what could help at home.,0,spend time apt talk maintenance treatment help home,"['spend', 'spend time', 'spend time apt', 'spend time apt talk', 'spend time apt talk maintenance', 'spend time apt talk maintenance treatment', 'spend time apt talk maintenance treatment help', 'spend time apt talk maintenance treatment help home', 'time', 'time apt', 'time apt talk', 'time apt talk maintenance', 'time apt talk maintenance treatment', 'time apt talk maintenance treatment help', 'time apt talk maintenance treatment help home', 'apt', 'apt talk', 'apt talk maintenance', 'apt talk maintenance treatment', 'apt talk maintenance treatment help', 'apt talk maintenance treatment help home', 'talk', 'talk maintenance', 'talk maintenance treatment', 'talk maintenance treatment help', 'talk maintenance treatment help home', 'maintenance', 'maintenance treatment', 'maintenance treatment help', 'maintenance treatment help home', 'treatment', 'treatment help', 'treatment help home', 'help', 'help home', 'home']",0,1,0.05128205128205128
185255,and I arrived 15 minutes early and then waited until 9:45 for a 9 am appt.,1,arrive minute early wait apt,"['arrive', 'arrive minute', 'arrive minute early', 'arrive minute early wait', 'arrive minute early wait apt', 'minute', 'minute early', 'minute early wait', 'minute early wait apt', 'early', 'early wait', 'early wait apt', 'wait', 'wait apt', 'apt']",0,1,0.1111111111111111
159826,When I walked in I was told she was behind 2 hours.,1,walk tell,"['walk', 'walk tell', 'tell']",1,0,0.3333333333333333
99986,I waited 2 mo for my appt and it got cancelled 2 days before.,1,wait moment apt get cancel,"['wait', 'wait moment', 'wait moment apt', 'wait moment apt get', 'wait moment apt get cancel', 'moment', 'moment apt', 'moment apt get', 'moment apt get cancel', 'apt', 'apt get', 'apt get cancel', 'get', 'get cancel', 'cancel']",0,1,0.1111111111111111
171636,and can't do that anymore because the more I walk the worse the pain gets.,1,anymore walk bad pain get,"['anymore', 'anymore walk', 'anymore walk bad', 'anymore walk bad pain', 'anymore walk bad pain get', 'walk', 'walk bad', 'walk bad pain', 'walk bad pain get', 'bad', 'bad pain', 'bad pain get', 'pain', 'pain get', 'get']",1,0,0.1111111111111111
96583,but my last appt at the medical center took forever - very long wait.,1,apt medical center take forever long wait,"['apt', 'apt medical', 'apt medical center', 'apt medical center take', 'apt medical center take forever', 'apt medical center take forever long', 'apt medical center take forever long wait', 'medical', 'medical center', 'medical center take', 'medical center take forever', 'medical center take forever long', 'medical center take forever long wait', 'center', 'center take', 'center take forever', 'center take forever long', 'center take forever long wait', 'take', 'take forever', 'take forever long', 'take forever long wait', 'forever', 'forever long', 'forever long wait', 'long', 'long wait', 'wait']",0,1,0.06451612903225806
125824,Told me to lift my leg (literally) and repeat and walked away.,1,tell lift leg literally repeat walk away,"['tell', 'tell lift', 'tell lift leg', 'tell lift leg literally', 'tell lift leg literally repeat', 'tell lift leg literally repeat walk', 'tell lift leg literally repeat walk away', 'lift', 'lift leg', 'lift leg literally', 'lift leg literally repeat', 'lift leg literally repeat walk', 'lift leg literally repeat walk away', 'leg', 'leg literally', 'leg literally repeat', 'leg literally repeat walk', 'leg literally repeat walk away', 'literally', 'literally repeat', 'literally repeat walk', 'literally repeat walk away', 'repeat', 'repeat walk', 'repeat walk away', 'walk', 'walk away', 'away']",1,0,0.06451612903225806
69478,My life was changed forever the day I walked in to Dr..Langdon's office.,0,life change forever walk drlangdons office,"['life', 'life change', 'life change forever', 'life change forever walk', 'life change forever walk drlangdons', 'life change forever walk drlangdons office', 'change', 'change forever', 'change forever walk', 'change forever walk drlangdons', 'change forever walk drlangdons office', 'forever', 'forever walk', 'forever walk drlangdons', 'forever walk drlangdons office', 'walk', 'walk drlangdons', 'walk drlangdons office', 'drlangdons', 'drlangdons office', 'office']",1,0,0.08333333333333333
126410,"I never get greeted the same as everyone else that walks in the door, the stares I get are extremely annoyed.",1,greet walk door stare extremely annoyed,"['greet', 'greet walk', 'greet walk door', 'greet walk door stare', 'greet walk door stare extremely', 'greet walk door stare extremely annoyed', 'walk', 'walk door', 'walk door stare', 'walk door stare extremely', 'walk door stare extremely annoyed', 'door', 'door stare', 'door stare extremely', 'door stare extremely annoyed', 'stare', 'stare extremely', 'stare extremely annoyed', 'extremely', 'extremely annoyed', 'annoyed']",1,0,0.08333333333333333
174051,"In other words, when you walk in the door you have dollar signs floating over your head.",1,word walk door dollar sign float head,"['word', 'word walk', 'word walk door', 'word walk door dollar', 'word walk door dollar sign', 'word walk door dollar sign float', 'word walk door dollar sign float head', 'walk', 'walk door', 'walk door dollar', 'walk door dollar sign', 'walk door dollar sign float', 'walk door dollar sign float head', 'door', 'door dollar', 'door dollar sign', 'door dollar sign float', 'door dollar sign float head', 'dollar', 'dollar sign', 'dollar sign float', 'dollar sign float head', 'sign', 'sign float', 'sign float head', 'float', 'float head', 'head']",1,0,0.06451612903225806
