commentId,comment,classification,comment_processed,word_phrase_list,mistake,mistake mistake,mistake mistake recommend,mistake mistake recommend clinic,mistake mistake recommend clinic free,mistake mistake recommend clinic free woman,mistake recommend,mistake recommend clinic,mistake recommend clinic free,mistake recommend clinic free woman,recommend,recommend clinic,recommend clinic free,recommend clinic free woman,clinic,clinic free,clinic free woman,free,free woman,woman,similarity_score
91541,"and when I point it out, the mistakes are always someone else's.",1,point mistake,"['point', 'point mistake', 'mistake']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333
92376,After surgery I was so happy and relieved and pain free that I tell everyone it is the best thing and,0,surgery happy relieve pain free tell good thing,"['surgery', 'surgery happy', 'surgery happy relieve', 'surgery happy relieve pain', 'surgery happy relieve pain free', 'surgery happy relieve pain free tell', 'surgery happy relieve pain free tell good', 'surgery happy relieve pain free tell good thing', 'happy', 'happy relieve', 'happy relieve pain', 'happy relieve pain free', 'happy relieve pain free tell', 'happy relieve pain free tell good', 'happy relieve pain free tell good thing', 'relieve', 'relieve pain', 'relieve pain free', 'relieve pain free tell', 'relieve pain free tell good', 'relieve pain free tell good thing', 'pain', 'pain free', 'pain free tell', 'pain free tell good', 'pain free tell good thing', 'free', 'free tell', 'free tell good', 'free tell good thing', 'tell', 'tell good', 'tell good thing', 'good', 'good thing', 'thing']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03508771929824561
78599,"the dentist recommended several things that cost a lot of money,",1,dentist recommend thing cost lot money,"['dentist', 'dentist recommend', 'dentist recommend thing', 'dentist recommend thing cost', 'dentist recommend thing cost lot', 'dentist recommend thing cost lot money', 'recommend', 'recommend thing', 'recommend thing cost', 'recommend thing cost lot', 'recommend thing cost lot money', 'thing', 'thing cost', 'thing cost lot', 'thing cost lot money', 'cost', 'cost lot', 'cost lot money', 'lot', 'lot money', 'money']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.047619047619047616
104673,"Friendly, informative, happy I selected this clinic.",0,friendly information happy choose clinic,"['friendly', 'friendly information', 'friendly information happy', 'friendly information happy choose', 'friendly information happy choose clinic', 'information', 'information happy', 'information happy choose', 'information happy choose clinic', 'happy', 'happy choose', 'happy choose clinic', 'choose', 'choose clinic', 'clinic']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05555555555555555
91662,and not feel like a monster :) The clinic is impeccable - I'm a neat freak/ germaphobe OCD person.,0,not feel like monster clinic implacable neat freak germaphobe old person,"['not', 'not feel', 'not feel like', 'not feel like monster', 'not feel like monster clinic', 'not feel like monster clinic implacable', 'not feel like monster clinic implacable neat', 'not feel like monster clinic implacable neat freak', 'not feel like monster clinic implacable neat freak germaphobe', 'not feel like monster clinic implacable neat freak germaphobe old', 'not feel like monster clinic implacable neat freak germaphobe old person', 'feel', 'feel like', 'feel like monster', 'feel like monster clinic', 'feel like monster clinic implacable', 'feel like monster clinic implacable neat', 'feel like monster clinic implacable neat freak', 'feel like monster clinic implacable neat freak germaphobe', 'feel like monster clinic implacable neat freak germaphobe old', 'feel like monster clinic implacable neat freak germaphobe old person', 'like', 'like monster', 'like monster clinic', 'like monster clinic implacable', 'like monster clinic implacable neat', 'like monster clinic implacable neat freak', 'like monster clinic implacable neat freak germaphobe', 'like monster clinic implacable neat freak germaphobe old', 'like monster clinic implacable neat freak germaphobe old person', 'monster', 'monster clinic', 'monster clinic implacable', 'monster clinic implacable neat', 'monster clinic implacable neat freak', 'monster clinic implacable neat freak germaphobe', 'monster clinic implacable neat freak germaphobe old', 'monster clinic implacable neat freak germaphobe old person', 'clinic', 'clinic implacable', 'clinic implacable neat', 'clinic implacable neat freak', 'clinic implacable neat freak germaphobe', 'clinic implacable neat freak germaphobe old', 'clinic implacable neat freak germaphobe old person', 'implacable', 'implacable neat', 'implacable neat freak', 'implacable neat freak germaphobe', 'implacable neat freak germaphobe old', 'implacable neat freak germaphobe old person', 'neat', 'neat freak', 'neat freak germaphobe', 'neat freak germaphobe old', 'neat freak germaphobe old person', 'freak', 'freak germaphobe', 'freak germaphobe old', 'freak germaphobe old person', 'germaphobe', 'germaphobe old', 'germaphobe old person', 'old', 'old person', 'person']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.022988505747126436
165576,I DO NOT recommend Dr. Hurwitz!,1,not recommend,"['not', 'not recommend', 'recommend']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08333333333333333
176731,Needless to say that I happily left the clinic that day with a firm date for my surgery.,0,needle happily leave clinic firm date surgery,"['needle', 'needle happily', 'needle happily leave', 'needle happily leave clinic', 'needle happily leave clinic firm', 'needle happily leave clinic firm date', 'needle happily leave clinic firm date surgery', 'happily', 'happily leave', 'happily leave clinic', 'happily leave clinic firm', 'happily leave clinic firm date', 'happily leave clinic firm date surgery', 'leave', 'leave clinic', 'leave clinic firm', 'leave clinic firm date', 'leave clinic firm date surgery', 'clinic', 'clinic firm', 'clinic firm date', 'clinic firm date surgery', 'firm', 'firm date', 'firm date surgery', 'date', 'date surgery', 'surgery']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.04081632653061224
139553,I would definitely recommend this office at the celebration location!,0,decidedly recommend office celebration location,"['decidedly', 'decidedly recommend', 'decidedly recommend office', 'decidedly recommend office celebration', 'decidedly recommend office celebration location', 'recommend', 'recommend office', 'recommend office celebration', 'recommend office celebration location', 'office', 'office celebration', 'office celebration location', 'celebration', 'celebration location', 'location']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05555555555555555
100381,I will not go back there and I would not recommend.,1,not not recommend,"['not', 'not not', 'not not recommend', 'not', 'not recommend', 'recommend']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.07407407407407407
168851,and when I insisted to know if that referral had been sent the woman on the phone became irate telling me I was being disrespectful.,1,insist know referral send woman phone irate tell disrespectful,"['insist', 'insist know', 'insist know referral', 'insist know referral send', 'insist know referral send woman', 'insist know referral send woman phone', 'insist know referral send woman phone irate', 'insist know referral send woman phone irate tell', 'insist know referral send woman phone irate tell disrespectful', 'know', 'know referral', 'know referral send', 'know referral send woman', 'know referral send woman phone', 'know referral send woman phone irate', 'know referral send woman phone irate tell', 'know referral send woman phone irate tell disrespectful', 'referral', 'referral send', 'referral send woman', 'referral send woman phone', 'referral send woman phone irate', 'referral send woman phone irate tell', 'referral send woman phone irate tell disrespectful', 'send', 'send woman', 'send woman phone', 'send woman phone irate', 'send woman phone irate tell', 'send woman phone irate tell disrespectful', 'woman', 'woman phone', 'woman phone irate', 'woman phone irate tell', 'woman phone irate tell disrespectful', 'phone', 'phone irate', 'phone irate tell', 'phone irate tell disrespectful', 'irate', 'irate tell', 'irate tell disrespectful', 'tell', 'tell disrespectful', 'disrespectful']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.030303030303030304
72629,I have lived in Colorado and when I came back home I chose to come back to complete women's.,0,live come home choose come complete woman,"['live', 'live come', 'live come home', 'live come home choose', 'live come home choose come', 'live come home choose come complete', 'live come home choose come complete woman', 'come', 'come home', 'come home choose', 'come home choose come', 'come home choose come complete', 'come home choose come complete woman', 'home', 'home choose', 'home choose come', 'home choose come complete', 'home choose come complete woman', 'choose', 'choose come', 'choose come complete', 'choose come complete woman', 'come', 'come complete', 'come complete woman', 'complete', 'complete woman', 'woman']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04081632653061224
156211,and assess my health are a true testament to the level of care The Clinic for Plastic Surgery provides for patients.,0,ass health true testament level care clinic plastic surgery provide patient,"['ass', 'ass health', 'ass health true', 'ass health true testament', 'ass health true testament level', 'ass health true testament level care', 'ass health true testament level care clinic', 'ass health true testament level care clinic plastic', 'ass health true testament level care clinic plastic surgery', 'ass health true testament level care clinic plastic surgery provide', 'ass health true testament level care clinic plastic surgery provide patient', 'health', 'health true', 'health true testament', 'health true testament level', 'health true testament level care', 'health true testament level care clinic', 'health true testament level care clinic plastic', 'health true testament level care clinic plastic surgery', 'health true testament level care clinic plastic surgery provide', 'health true testament level care clinic plastic surgery provide patient', 'true', 'true testament', 'true testament level', 'true testament level care', 'true testament level care clinic', 'true testament level care clinic plastic', 'true testament level care clinic plastic surgery', 'true testament level care clinic plastic surgery provide', 'true testament level care clinic plastic surgery provide patient', 'testament', 'testament level', 'testament level care', 'testament level care clinic', 'testament level care clinic plastic', 'testament level care clinic plastic surgery', 'testament level care clinic plastic surgery provide', 'testament level care clinic plastic surgery provide patient', 'level', 'level care', 'level care clinic', 'level care clinic plastic', 'level care clinic plastic surgery', 'level care clinic plastic surgery provide', 'level care clinic plastic surgery provide patient', 'care', 'care clinic', 'care clinic plastic', 'care clinic plastic surgery', 'care clinic plastic surgery provide', 'care clinic plastic surgery provide patient', 'clinic', 'clinic plastic', 'clinic plastic surgery', 'clinic plastic surgery provide', 'clinic plastic surgery provide patient', 'plastic', 'plastic surgery', 'plastic surgery provide', 'plastic surgery provide patient', 'surgery', 'surgery provide', 'surgery provide patient', 'provide', 'provide patient', 'patient']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.022988505747126436
139459,"this clinic is a rude busy clinic ,they ll tell you they are busy",1,clinic rude busy clinic tell busy,"['clinic', 'clinic rude', 'clinic rude busy', 'clinic rude busy clinic', 'clinic rude busy clinic tell', 'clinic rude busy clinic tell busy', 'rude', 'rude busy', 'rude busy clinic', 'rude busy clinic tell', 'rude busy clinic tell busy', 'busy', 'busy clinic', 'busy clinic tell', 'busy clinic tell busy', 'clinic', 'clinic tell', 'clinic tell busy', 'tell', 'tell busy', 'busy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.047619047619047616
128948,When I left I understood what my problem was and I would Recommend this office to anyone.,0,leave understand problem recommend office,"['leave', 'leave understand', 'leave understand problem', 'leave understand problem recommend', 'leave understand problem recommend office', 'understand', 'understand problem', 'understand problem recommend', 'understand problem recommend office', 'problem', 'problem recommend', 'problem recommend office', 'recommend', 'recommend office', 'office']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05555555555555555
61697,I have recommended him to another friend and has used him and had the same experience.,0,recommend friend experience,"['recommend', 'recommend friend', 'recommend friend experience', 'friend', 'friend experience', 'experience']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.07407407407407407
188291,This is my 100% honest experience I wouldn't recommend this surgeon if you want real quality results.,1,honest experience recommend surgeon want real quality result,"['honest', 'honest experience', 'honest experience recommend', 'honest experience recommend surgeon', 'honest experience recommend surgeon want', 'honest experience recommend surgeon want real', 'honest experience recommend surgeon want real quality', 'honest experience recommend surgeon want real quality result', 'experience', 'experience recommend', 'experience recommend surgeon', 'experience recommend surgeon want', 'experience recommend surgeon want real', 'experience recommend surgeon want real quality', 'experience recommend surgeon want real quality result', 'recommend', 'recommend surgeon', 'recommend surgeon want', 'recommend surgeon want real', 'recommend surgeon want real quality', 'recommend surgeon want real quality result', 'surgeon', 'surgeon want', 'surgeon want real', 'surgeon want real quality', 'surgeon want real quality result', 'want', 'want real', 'want real quality', 'want real quality result', 'real', 'real quality', 'real quality result', 'quality', 'quality result', 'result']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03508771929824561
189692,I recommend taking yourself or loved ones elsewhere for real care.,1,recommend take love one real care,"['recommend', 'recommend take', 'recommend take love', 'recommend take love one', 'recommend take love one real', 'recommend take love one real care', 'take', 'take love', 'take love one', 'take love one real', 'take love one real care', 'love', 'love one', 'love one real', 'love one real care', 'one', 'one real', 'one real care', 'real', 'real care', 'care']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.047619047619047616
143881,When I made my appointment I told the woman who set it up that I had experienced interminable wait times in the past?once in 2017,1,appointment tell woman set experience endless wait time pastonce,"['appointment', 'appointment tell', 'appointment tell woman', 'appointment tell woman set', 'appointment tell woman set experience', 'appointment tell woman set experience endless', 'appointment tell woman set experience endless wait', 'appointment tell woman set experience endless wait time', 'appointment tell woman set experience endless wait time pastonce', 'tell', 'tell woman', 'tell woman set', 'tell woman set experience', 'tell woman set experience endless', 'tell woman set experience endless wait', 'tell woman set experience endless wait time', 'tell woman set experience endless wait time pastonce', 'woman', 'woman set', 'woman set experience', 'woman set experience endless', 'woman set experience endless wait', 'woman set experience endless wait time', 'woman set experience endless wait time pastonce', 'set', 'set experience', 'set experience endless', 'set experience endless wait', 'set experience endless wait time', 'set experience endless wait time pastonce', 'experience', 'experience endless', 'experience endless wait', 'experience endless wait time', 'experience endless wait time pastonce', 'endless', 'endless wait', 'endless wait time', 'endless wait time pastonce', 'wait', 'wait time', 'wait time pastonce', 'time', 'time pastonce', 'pastonce']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.030303030303030304
116855,I would reccommed to this place to anyone.,0,recommend place,"['recommend', 'recommend place', 'place']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08333333333333333
