commentId,comment,classification,comment_processed,word_phrase_list,clinic,clinic clean,clean,clean floor,floor,shiny,eat,reflection,similarity_score
150658,"However, it's eating me up not sharing my story so that others can avoid what I'm going through now.",1,eat not sharing story avoid go,"['eat', 'eat not', 'eat not sharing', 'eat not sharing story', 'eat not sharing story avoid', 'eat not sharing story avoid go', 'not', 'not sharing', 'not sharing story', 'not sharing story avoid', 'not sharing story avoid go', 'sharing', 'sharing story', 'sharing story avoid', 'sharing story avoid go', 'story', 'story avoid', 'story avoid go', 'avoid', 'avoid go', 'go']",0,0,0,0,0,0,1,0,0.04081632653061224
104673,"Friendly, informative, happy I selected this clinic.",0,friendly information happy choose clinic,"['friendly', 'friendly information', 'friendly information happy', 'friendly information happy choose', 'friendly information happy choose clinic', 'information', 'information happy', 'information happy choose', 'information happy choose clinic', 'happy', 'happy choose', 'happy choose clinic', 'choose', 'choose clinic', 'clinic']",1,0,0,0,0,0,0,0,0.046511627906976744
151134,"The offices are very clean (not just due to Covid, they've just always been like that) and well managed.",0,office clean not like manage,"['office', 'office clean', 'office clean not', 'office clean not like', 'office clean not like manage', 'clean', 'clean not', 'clean not like', 'clean not like manage', 'not', 'not like', 'not like manage', 'like', 'like manage', 'manage']",0,0,1,0,0,0,0,0,0.046511627906976744
91662,and not feel like a monster :) The clinic is impeccable - I'm a neat freak/ germaphobe OCD person.,0,not feel like monster clinic implacable neat freak germaphobe old person,"['not', 'not feel', 'not feel like', 'not feel like monster', 'not feel like monster clinic', 'not feel like monster clinic implacable', 'not feel like monster clinic implacable neat', 'not feel like monster clinic implacable neat freak', 'not feel like monster clinic implacable neat freak germaphobe', 'not feel like monster clinic implacable neat freak germaphobe old', 'not feel like monster clinic implacable neat freak germaphobe old person', 'feel', 'feel like', 'feel like monster', 'feel like monster clinic', 'feel like monster clinic implacable', 'feel like monster clinic implacable neat', 'feel like monster clinic implacable neat freak', 'feel like monster clinic implacable neat freak germaphobe', 'feel like monster clinic implacable neat freak germaphobe old', 'feel like monster clinic implacable neat freak germaphobe old person', 'like', 'like monster', 'like monster clinic', 'like monster clinic implacable', 'like monster clinic implacable neat', 'like monster clinic implacable neat freak', 'like monster clinic implacable neat freak germaphobe', 'like monster clinic implacable neat freak germaphobe old', 'like monster clinic implacable neat freak germaphobe old person', 'monster', 'monster clinic', 'monster clinic implacable', 'monster clinic implacable neat', 'monster clinic implacable neat freak', 'monster clinic implacable neat freak germaphobe', 'monster clinic implacable neat freak germaphobe old', 'monster clinic implacable neat freak germaphobe old person', 'clinic', 'clinic implacable', 'clinic implacable neat', 'clinic implacable neat freak', 'clinic implacable neat freak germaphobe', 'clinic implacable neat freak germaphobe old', 'clinic implacable neat freak germaphobe old person', 'implacable', 'implacable neat', 'implacable neat freak', 'implacable neat freak germaphobe', 'implacable neat freak germaphobe old', 'implacable neat freak germaphobe old person', 'neat', 'neat freak', 'neat freak germaphobe', 'neat freak germaphobe old', 'neat freak germaphobe old person', 'freak', 'freak germaphobe', 'freak germaphobe old', 'freak germaphobe old person', 'germaphobe', 'germaphobe old', 'germaphobe old person', 'old', 'old person', 'person']",1,0,0,0,0,0,0,0,0.02127659574468085
93711,And the little extra touch (hands dipped in paraffin during treatments) are appreciated:) The office is clean,0,little extra touch hand dip paraffin treatment appreciate office clean,"['little', 'little extra', 'little extra touch', 'little extra touch hand', 'little extra touch hand dip', 'little extra touch hand dip paraffin', 'little extra touch hand dip paraffin treatment', 'little extra touch hand dip paraffin treatment appreciate', 'little extra touch hand dip paraffin treatment appreciate office', 'little extra touch hand dip paraffin treatment appreciate office clean', 'extra', 'extra touch', 'extra touch hand', 'extra touch hand dip', 'extra touch hand dip paraffin', 'extra touch hand dip paraffin treatment', 'extra touch hand dip paraffin treatment appreciate', 'extra touch hand dip paraffin treatment appreciate office', 'extra touch hand dip paraffin treatment appreciate office clean', 'touch', 'touch hand', 'touch hand dip', 'touch hand dip paraffin', 'touch hand dip paraffin treatment', 'touch hand dip paraffin treatment appreciate', 'touch hand dip paraffin treatment appreciate office', 'touch hand dip paraffin treatment appreciate office clean', 'hand', 'hand dip', 'hand dip paraffin', 'hand dip paraffin treatment', 'hand dip paraffin treatment appreciate', 'hand dip paraffin treatment appreciate office', 'hand dip paraffin treatment appreciate office clean', 'dip', 'dip paraffin', 'dip paraffin treatment', 'dip paraffin treatment appreciate', 'dip paraffin treatment appreciate office', 'dip paraffin treatment appreciate office clean', 'paraffin', 'paraffin treatment', 'paraffin treatment appreciate', 'paraffin treatment appreciate office', 'paraffin treatment appreciate office clean', 'treatment', 'treatment appreciate', 'treatment appreciate office', 'treatment appreciate office clean', 'appreciate', 'appreciate office', 'appreciate office clean', 'office', 'office clean', 'clean']",0,0,1,0,0,0,0,0,0.024096385542168676
83118,and clean.,0,clean,['clean'],0,0,1,0,0,0,0,0,0.06896551724137931
176731,Needless to say that I happily left the clinic that day with a firm date for my surgery.,0,needle happily leave clinic firm date surgery,"['needle', 'needle happily', 'needle happily leave', 'needle happily leave clinic', 'needle happily leave clinic firm', 'needle happily leave clinic firm date', 'needle happily leave clinic firm date surgery', 'happily', 'happily leave', 'happily leave clinic', 'happily leave clinic firm', 'happily leave clinic firm date', 'happily leave clinic firm date surgery', 'leave', 'leave clinic', 'leave clinic firm', 'leave clinic firm date', 'leave clinic firm date surgery', 'clinic', 'clinic firm', 'clinic firm date', 'clinic firm date surgery', 'firm', 'firm date', 'firm date surgery', 'date', 'date surgery', 'surgery']",1,0,0,0,0,0,0,0,0.03571428571428571
156211,and assess my health are a true testament to the level of care The Clinic for Plastic Surgery provides for patients.,0,ass health true testament level care clinic plastic surgery provide patient,"['ass', 'ass health', 'ass health true', 'ass health true testament', 'ass health true testament level', 'ass health true testament level care', 'ass health true testament level care clinic', 'ass health true testament level care clinic plastic', 'ass health true testament level care clinic plastic surgery', 'ass health true testament level care clinic plastic surgery provide', 'ass health true testament level care clinic plastic surgery provide patient', 'health', 'health true', 'health true testament', 'health true testament level', 'health true testament level care', 'health true testament level care clinic', 'health true testament level care clinic plastic', 'health true testament level care clinic plastic surgery', 'health true testament level care clinic plastic surgery provide', 'health true testament level care clinic plastic surgery provide patient', 'true', 'true testament', 'true testament level', 'true testament level care', 'true testament level care clinic', 'true testament level care clinic plastic', 'true testament level care clinic plastic surgery', 'true testament level care clinic plastic surgery provide', 'true testament level care clinic plastic surgery provide patient', 'testament', 'testament level', 'testament level care', 'testament level care clinic', 'testament level care clinic plastic', 'testament level care clinic plastic surgery', 'testament level care clinic plastic surgery provide', 'testament level care clinic plastic surgery provide patient', 'level', 'level care', 'level care clinic', 'level care clinic plastic', 'level care clinic plastic surgery', 'level care clinic plastic surgery provide', 'level care clinic plastic surgery provide patient', 'care', 'care clinic', 'care clinic plastic', 'care clinic plastic surgery', 'care clinic plastic surgery provide', 'care clinic plastic surgery provide patient', 'clinic', 'clinic plastic', 'clinic plastic surgery', 'clinic plastic surgery provide', 'clinic plastic surgery provide patient', 'plastic', 'plastic surgery', 'plastic surgery provide', 'plastic surgery provide patient', 'surgery', 'surgery provide', 'surgery provide patient', 'provide', 'provide patient', 'patient']",1,0,0,0,0,0,0,0,0.02127659574468085
139459,"this clinic is a rude busy clinic ,they ll tell you they are busy",1,clinic rude busy clinic tell busy,"['clinic', 'clinic rude', 'clinic rude busy', 'clinic rude busy clinic', 'clinic rude busy clinic tell', 'clinic rude busy clinic tell busy', 'rude', 'rude busy', 'rude busy clinic', 'rude busy clinic tell', 'rude busy clinic tell busy', 'busy', 'busy clinic', 'busy clinic tell', 'busy clinic tell busy', 'clinic', 'clinic tell', 'clinic tell busy', 'tell', 'tell busy', 'busy']",1,0,0,0,0,0,0,0,0.04081632653061224
126138,and they left me without help and unable to speak to anyone at the clinic.,1,leave help unable speak clinic,"['leave', 'leave help', 'leave help unable', 'leave help unable speak', 'leave help unable speak clinic', 'help', 'help unable', 'help unable speak', 'help unable speak clinic', 'unable', 'unable speak', 'unable speak clinic', 'speak', 'speak clinic', 'clinic']",1,0,0,0,0,0,0,0,0.046511627906976744
