commentId,comment,classification,comment_processed,word_phrase_list,service,service cash,cash,cash practice,practice,similarity_score,regression_weight
107951,She talks down to the patients and has horrible customer service.,1,talk patient atrocious customer service,"['talk', 'talk patient', 'talk patient atrocious', 'talk patient atrocious customer', 'talk patient atrocious customer service', 'patient', 'patient atrocious', 'patient atrocious customer', 'patient atrocious customer service', 'atrocious', 'atrocious customer', 'atrocious customer service', 'customer', 'customer service', 'service']",1,0,0,0,0,0.0757575757575757,0.0
140496,Dr is amazing the front staff needs to learn customer service!,1,dr amaze staff need learn customer service,"['dr', 'dr amaze', 'dr amaze staff', 'dr amaze staff need', 'dr amaze staff need learn', 'dr amaze staff need learn customer', 'dr amaze staff need learn customer service', 'amaze', 'amaze staff', 'amaze staff need', 'amaze staff need learn', 'amaze staff need learn customer', 'amaze staff need learn customer service', 'staff', 'staff need', 'staff need learn', 'staff need learn customer', 'staff need learn customer service', 'need', 'need learn', 'need learn customer', 'need learn customer service', 'learn', 'learn customer', 'learn customer service', 'customer', 'customer service', 'service']",1,0,0,0,0,0.0423728813559322,0.0
159869,The way they deliver service is effective (didn?t make me do a bunch of unnecessary follow ups) and they make it painless.,0,way deliver service effective bunch unnecessary follow painless,"['way', 'way deliver', 'way deliver service', 'way deliver service effective', 'way deliver service effective bunch', 'way deliver service effective bunch unnecessary', 'way deliver service effective bunch unnecessary follow', 'way deliver service effective bunch unnecessary follow painless', 'deliver', 'deliver service', 'deliver service effective', 'deliver service effective bunch', 'deliver service effective bunch unnecessary', 'deliver service effective bunch unnecessary follow', 'deliver service effective bunch unnecessary follow painless', 'service', 'service effective', 'service effective bunch', 'service effective bunch unnecessary', 'service effective bunch unnecessary follow', 'service effective bunch unnecessary follow painless', 'effective', 'effective bunch', 'effective bunch unnecessary', 'effective bunch unnecessary follow', 'effective bunch unnecessary follow painless', 'bunch', 'bunch unnecessary', 'bunch unnecessary follow', 'bunch unnecessary follow painless', 'unnecessary', 'unnecessary follow', 'unnecessary follow painless', 'follow', 'follow painless', 'painless']",1,0,0,0,0,0.0333333333333333,0.0
97503,Beautiful practice.,0,beautiful practice,"['beautiful', 'beautiful practice', 'practice']",0,0,0,0,1,0.2777777777777778,0.0
135339,Excellent Service very Nice People n Always welcome you to take The Pain away.,0,excellent service nice people n welcome pain away,"['excellent', 'excellent service', 'excellent service nice', 'excellent service nice people', 'excellent service nice people n', 'excellent service nice people n welcome', 'excellent service nice people n welcome pain', 'excellent service nice people n welcome pain away', 'service', 'service nice', 'service nice people', 'service nice people n', 'service nice people n welcome', 'service nice people n welcome pain', 'service nice people n welcome pain away', 'nice', 'nice people', 'nice people n', 'nice people n welcome', 'nice people n welcome pain', 'nice people n welcome pain away', 'people', 'people n', 'people n welcome', 'people n welcome pain', 'people n welcome pain away', 'n', 'n welcome', 'n welcome pain', 'n welcome pain away', 'welcome', 'welcome pain', 'welcome pain away', 'pain', 'pain away', 'away']",1,0,0,0,0,0.0333333333333333,0.0
124717,and we are even more upset now than we originally were because of how deceitful they are at this practice.,1,upset originally deceitful practice,"['upset', 'upset originally', 'upset originally deceitful', 'upset originally deceitful practice', 'originally', 'originally deceitful', 'originally deceitful practice', 'deceitful', 'deceitful practice', 'practice']",0,0,0,0,1,0.108695652173913,0.0
111209,"Great service, no overselling and no offers to make me look like an alien.",0,great service no overselling no offer look like alien,"['great', 'great service', 'great service no', 'great service no overselling', 'great service no overselling no', 'great service no overselling no offer', 'great service no overselling no offer look', 'great service no overselling no offer look like', 'great service no overselling no offer look like alien', 'service', 'service no', 'service no overselling', 'service no overselling no', 'service no overselling no offer', 'service no overselling no offer look', 'service no overselling no offer look like', 'service no overselling no offer look like alien', 'no', 'no overselling', 'no overselling no', 'no overselling no offer', 'no overselling no offer look', 'no overselling no offer look like', 'no overselling no offer look like alien', 'overselling', 'overselling no', 'overselling no offer', 'overselling no offer look', 'overselling no offer look like', 'overselling no offer look like alien', 'no', 'no offer', 'no offer look', 'no offer look like', 'no offer look like alien', 'offer', 'offer look', 'offer look like', 'offer look like alien', 'look', 'look like', 'look like alien', 'like', 'like alien', 'alien']",1,0,0,0,0,0.0268817204301075,0.0
187464,I should have went with another practice.,1,go practice,"['go', 'go practice', 'practice']",0,0,0,0,1,0.2777777777777778,0.0
61225,I am completely satisfied with his service,0,completely satisfy service,"['completely', 'completely satisfy', 'completely satisfy service', 'satisfy', 'satisfy service', 'service']",1,0,0,0,0,0.1666666666666666,0.0
95904,The office practices left me feeling a bit distraught.,1,office practice leave feel bit distraught,"['office', 'office practice', 'office practice leave', 'office practice leave feel', 'office practice leave feel bit', 'office practice leave feel bit distraught', 'practice', 'practice leave', 'practice leave feel', 'practice leave feel bit', 'practice leave feel bit distraught', 'leave', 'leave feel', 'leave feel bit', 'leave feel bit distraught', 'feel', 'feel bit', 'feel bit distraught', 'bit', 'bit distraught', 'distraught']",0,0,0,0,1,0.0555555555555555,0.0
156725,"and you shouldn't either! [I have gotten a good amount of services that they offer, and they deliver every.",0,get good service offer deliver,"['get', 'get good', 'get good service', 'get good service offer', 'get good service offer deliver', 'good', 'good service', 'good service offer', 'good service offer deliver', 'service', 'service offer', 'service offer deliver', 'offer', 'offer deliver', 'deliver']",1,0,0,0,0,0.0757575757575757,0.0
