commentId,comment,classification,comment_processed,word_phrase_list,skin,skin face,face,face numb,numb,similarity_score
162742,They were very attentive and advised me on how to keep my skin looking even more amazing than it already does.,0,attentive advise skin look amaze,"['attentive', 'attentive advise', 'attentive advise skin', 'attentive advise skin look', 'attentive advise skin look amaze', 'advise', 'advise skin', 'advise skin look', 'advise skin look amaze', 'skin', 'skin look', 'skin look amaze', 'look', 'look amaze', 'amaze']",1,0,0,0,0,0.5
138270,result since this sagging skin is all I see when I look in the mirror.,1,result lag skin look mirror,"['result', 'result lag', 'result lag skin', 'result lag skin look', 'result lag skin look mirror', 'lag', 'lag skin', 'lag skin look', 'lag skin look mirror', 'skin', 'skin look', 'skin look mirror', 'look', 'look mirror', 'mirror']",1,0,0,0,0,0.5
70511,He took off almost half my face and I look great.,0,take face look great,"['take', 'take face', 'take face look', 'take face look great', 'face', 'face look', 'face look great', 'look', 'look great', 'great']",0,0,1,0,0,0.5
168921,I have been going to the skin spa for many years.,0,go skin sea,"['go', 'go skin', 'go skin sea', 'skin', 'skin sea', 'sea']",1,0,0,0,0,0.5
113910,"I am so impressed with the JPlasma, I have no lose skin and no irregularities.",0,impress plasma lose skin irregularity,"['impress', 'impress plasma', 'impress plasma lose', 'impress plasma lose skin', 'impress plasma lose skin irregularity', 'plasma', 'plasma lose', 'plasma lose skin', 'plasma lose skin irregularity', 'lose', 'lose skin', 'lose skin irregularity', 'skin', 'skin irregularity', 'irregularity']",1,0,0,0,0,0.5
179269,Dr. Pontell was able to give me the perfect nose and jawline that appears natural to the rest of my face.,0,able perfect nose saline appear natural rest face,"['able', 'able perfect', 'able perfect nose', 'able perfect nose saline', 'able perfect nose saline appear', 'able perfect nose saline appear natural', 'able perfect nose saline appear natural rest', 'able perfect nose saline appear natural rest face', 'perfect', 'perfect nose', 'perfect nose saline', 'perfect nose saline appear', 'perfect nose saline appear natural', 'perfect nose saline appear natural rest', 'perfect nose saline appear natural rest face', 'nose', 'nose saline', 'nose saline appear', 'nose saline appear natural', 'nose saline appear natural rest', 'nose saline appear natural rest face', 'saline', 'saline appear', 'saline appear natural', 'saline appear natural rest', 'saline appear natural rest face', 'appear', 'appear natural', 'appear natural rest', 'appear natural rest face', 'natural', 'natural rest', 'natural rest face', 'rest', 'rest face', 'face']",0,0,1,0,0,0.5
115850,I have been seeing him every 2-3 weeks for the last 4 months and my skin has improved so much!,0,see skin improved,"['see', 'see skin', 'see skin improved', 'skin', 'skin improved', 'improved']",1,0,0,0,0,0.5
124195,"In a few short months, my skin has been transformed.",0,skin transform,"['skin', 'skin transform', 'transform']",1,0,0,0,0,0.5
102439,Horrible silicon 1000 is not approved by FDA to be injected in the face especially in the nose.,1,atrocious silicon approve inject face especially nose,"['atrocious', 'atrocious silicon', 'atrocious silicon approve', 'atrocious silicon approve inject', 'atrocious silicon approve inject face', 'atrocious silicon approve inject face especially', 'atrocious silicon approve inject face especially nose', 'silicon', 'silicon approve', 'silicon approve inject', 'silicon approve inject face', 'silicon approve inject face especially', 'silicon approve inject face especially nose', 'approve', 'approve inject', 'approve inject face', 'approve inject face especially', 'approve inject face especially nose', 'inject', 'inject face', 'inject face especially', 'inject face especially nose', 'face', 'face especially', 'face especially nose', 'especially', 'especially nose', 'nose']",0,0,1,0,0,0.5
141822,The staff helped with all my skin care needs.,0,staff help skin care need,"['staff', 'staff help', 'staff help skin', 'staff help skin care', 'staff help skin care need', 'help', 'help skin', 'help skin care', 'help skin care need', 'skin', 'skin care', 'skin care need', 'care', 'care need', 'need']",1,0,0,0,0,0.5
